Image_file,set,treatment,plant,rep,leaf,petioleLength,bladeLength,bladeWidth,bladeArea,bladePerimeter,bladeCircularity,,
2016moreSASmut_exp3001.tif (blue),C,sun,sid2,1,2,5.055,8.015,7.226,45.489,33.189,0.519,,
2016moreSASmut_exp3001.tif (blue),C,sun,sid2,1,3,7.11,11.563,9.188,83.441,44.365,0.533,,
2016moreSASmut_exp3001.tif (blue),C,sun,sid2,1,4,6.76,11.345,9.904,88.253,49.022,0.461,,
2016moreSASmut_exp3001.tif (blue),C,sun,sid2,1,5,8.449,15.233,10.99,131.489,57.404,0.501,,
2016moreSASmut_exp3001.tif (blue),C,sun,sid2,1,6,7.981,14.79,9.892,114.903,54.102,0.493,,
2016moreSASmut_exp3001.tif (blue),C,sun,sid2,1,7,6.696,16.358,9.703,124.661,57.489,0.474,,
2016moreSASmut_exp3001.tif (blue),C,sun,sid2,1,8,8.131,16.476,10.141,131.231,59.097,0.472,,
2016moreSASmut_exp3001.tif (blue),C,sun,sid2,1,9,0.434,13.809,8.072,87.554,49.361,0.452,,
2016moreSASmut_exp3001.tif (blue),C,sun,sid2,2,1,5.091,7.656,6.664,40.073,31.665,0.502,bladePerimeter,bladeCircularity
2016moreSASmut_exp3001.tif (blue),C,sun,sid2,2,3,5.282,8.532,7.603,50.948,62.569,0.164,,
2016moreSASmut_exp3001.tif (blue),C,sun,sid2,2,4,7.756,11.602,9.5,86.573,44.45,0.551,,
2016moreSASmut_exp3001.tif (blue),C,sun,sid2,2,5,4.712,12.474,10.136,99.303,49.022,0.519,,
2016moreSASmut_exp3001.tif (blue),C,sun,sid2,2,6,7.237,14.81,10.731,124.815,54.187,0.534,,
2016moreSASmut_exp3001.tif (blue),C,sun,sid2,2,7,6.333,13.862,9.754,106.195,54.61,0.447,,
2016moreSASmut_exp3001.tif (blue),C,sun,sid2,2,8,3.728,11.738,6.68,61.588,40.979,0.461,,
2016moreSASmut_exp3001.tif (blue),C,sun,sid2,2,9,2.808,13.382,7.733,81.269,45.72,0.489,,
2016moreSASmut_exp3001.tif (blue),C,sun,sid2,2,10,1.712,10.587,6.533,54.322,37.592,0.483,,
2016moreSASmut_exp3001.tif (blue),C,sun,npr1,1,1,7.035,8.025,6.308,39.756,32.004,0.488,,
2016moreSASmut_exp3001.tif (blue),C,sun,npr1,1,2,4.219,6.704,4.539,23.9,31.496,0.303,,
2016moreSASmut_exp3001.tif (blue),C,sun,npr1,1,3,8.799,10.873,8.454,72.195,41.487,0.527,,
2016moreSASmut_exp3001.tif (blue),C,sun,npr1,1,4,9.032,11.966,9.549,89.744,46.143,0.53,,
2016moreSASmut_exp3001.tif (blue),C,sun,npr1,1,5,6.872,11.73,8.266,76.147,43.857,0.497,,
2016moreSASmut_exp3001.tif (blue),C,sun,npr1,1,6,8.492,14.905,9.227,108.009,40.502,0.827,,
2016moreSASmut_exp3001.tif (blue),C,sun,npr1,1,7,5.348,13.368,8.218,86.281,47.159,0.488,,
2016moreSASmut_exp3001.tif (blue),C,sun,npr1,1,8,3.935,12.927,8.159,82.839,45.805,0.496,,
2016moreSASmut_exp3001.tif (blue),C,sun,npr1,1,9,1.282,11.224,7.391,65.152,41.571,0.474,,
2016moreSASmut_exp3001.tif (blue),C,sun,npr1,2,1,3.146,6.332,4.467,22.215,32.427,0.265,,
2016moreSASmut_exp3001.tif (blue),C,sun,npr1,2,2,3.147,6.816,5.117,27.394,33.359,0.309,,
2016moreSASmut_exp3001.tif (blue),C,sun,npr1,2,3,5.394,10.362,6.275,51.066,38.1,0.442,,
2016moreSASmut_exp3001.tif (blue),C,sun,npr1,2,4,6.951,10.579,7.676,63.781,39.37,0.517,,
2016moreSASmut_exp3001.tif (blue),C,sun,npr1,2,5,7.005,11.405,7.199,64.478,40.301,0.499,,
2016moreSASmut_exp3001.tif (blue),C,sun,npr1,2,6,7.02,10.796,7.732,65.563,40.301,0.507,,
2016moreSASmut_exp3001.tif (blue),C,sun,npr1,2,7,7.43,12.153,7.861,75.027,43.603,0.496,,
2016moreSASmut_exp3001.tif (blue),C,sun,npr1,2,8,5.647,12.532,8.308,81.772,44.704,0.514,,
2016moreSASmut_exp3001.tif (blue),C,sun,npr1,2,9,2.42,10.254,4.723,38.036,33.613,0.423,,
2016moreSASmut_exp3001.tif (blue),C,sun,npr1,2,10,0.57,9.857,6.335,49.039,36.576,0.461,,
2016moreSASmut_exp3001.tif (blue),C,sun,npr3/4,1,1,3.895,5.991,5.853,27.539,29.803,0.39,,
2016moreSASmut_exp3001.tif (blue),C,sun,npr3/4,1,2,3.825,7.96,7.177,44.869,33.443,0.504,,
2016moreSASmut_exp3001.tif (blue),C,sun,npr3/4,1,3,5.468,9.627,6.826,51.613,48.599,0.275,,
2016moreSASmut_exp3001.tif (blue),C,sun,npr3/4,1,4,8.272,15.289,12.312,147.842,61.299,0.494,,
2016moreSASmut_exp3001.tif (blue),C,sun,npr3/4,1,5,8.745,14.691,10.973,126.613,59.267,0.453,,
2016moreSASmut_exp3001.tif (blue),C,sun,npr3/4,1,6,8.113,17.661,10.659,147.849,66.04,0.426,,
2016moreSASmut_exp3001.tif (blue),C,sun,npr3/4,1,7,7.224,17.244,10.345,140.102,61.976,0.458,,
2016moreSASmut_exp3001.tif (blue),C,sun,npr3/4,1,8,4.852,14.819,7.46,86.826,51.647,0.409,,
2016moreSASmut_exp3001.tif (blue),C,sun,npr3/4,1,9,5.353,18.941,9.479,141.012,63.923,0.434,,
2016moreSASmut_exp3001.tif (blue),C,sun,npr3/4,1,10,1.744,16.385,7.379,94.964,55.795,0.383,,
2016moreSASmut_exp3002.tif (blue),C,sun,sid1,2,1,4.402,6.325,5.603,27.833,25.993,0.518,,
2016moreSASmut_exp3002.tif (blue),C,sun,sid1,2,2,4.187,6.412,5.606,28.229,26.67,0.499,,
2016moreSASmut_exp3002.tif (blue),C,sun,sid1,2,3,5.873,10.255,8.981,72.34,43.349,0.484,,
2016moreSASmut_exp3002.tif (blue),C,sun,sid1,2,4,7.529,12.12,10.555,100.471,50.715,0.491,,
2016moreSASmut_exp3002.tif (blue),C,sun,sid1,2,5,8.206,14.566,11.029,126.166,56.473,0.497,,
2016moreSASmut_exp3002.tif (blue),C,sun,sid1,2,6,5.86,16.149,10.148,128.711,58.674,0.47,,
2016moreSASmut_exp3002.tif (blue),C,sun,sid1,2,7,6.374,16.752,9.894,130.175,61.468,0.433,,
2016moreSASmut_exp3002.tif (blue),C,sun,sid1,2,8,4.245,17.101,9.243,124.147,59.775,0.437,,
2016moreSASmut_exp3002.tif (blue),C,sun,sid1,2,9,1.067,16.133,7.819,99.068,56.642,0.388,,
2016moreSASmut_exp3002.tif (blue),C,sun,sid1,2,10,0.683,13.115,6.437,66.306,45.043,0.411,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,1,1,5.996,7.578,7.149,42.548,32.004,0.522,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,1,2,3.216,7.174,5.886,33.165,30.141,0.459,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,1,3,9.433,14.263,11.455,128.322,60.537,0.44,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,1,4,8.824,13.749,9.592,103.571,56.473,0.408,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,1,5,10.218,14.195,9.407,104.876,55.457,0.429,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,1,6,12.207,19.745,12.092,187.516,71.628,0.459,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,1,7,10.234,18.84,12.049,178.29,70.104,0.456,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,1,8,9.955,19.114,11.087,166.437,69.511,0.433,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,1,9,5.793,18.676,9.853,144.519,67.479,0.399,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,1,10,2.941,14.861,8.25,96.294,55.88,0.388,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,1,11,1.227,13.93,7.869,86.091,51.901,0.402,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,2,1,5.702,7.49,6.639,39.054,34.883,0.403,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,2,2,5.286,7.475,5.102,29.955,33.528,0.335,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,2,3,9.076,13.22,10.909,113.27,53.594,0.496,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,2,4,10.543,15.441,11.223,136.1,58.081,0.507,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,2,5,8.824,17.759,13.278,185.199,66.633,0.524,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,2,6,10.38,21.424,12.227,205.745,75.438,0.454,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,2,7,8.334,19.328,11.524,174.941,53.32,0.773,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,2,8,8.703,20.521,11.657,187.874,73.999,0.431,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,2,9,4.835,20.33,10.832,172.951,71.797,0.422,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,2,10,3.256,18.4,8.493,122.74,61.045,0.414,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,2,11,0.458,17.498,9.293,127.708,64.262,0.389,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,3,1,6.034,8.227,7.931,51.245,34.967,0.527,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,3,2,5.172,7.484,6.761,39.744,30.988,0.52,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,3,3,11.833,15.436,11.404,138.258,58.081,0.515,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,3,4,11.111,17.383,12.993,177.389,67.225,0.493,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,3,5,14.131,19.089,13.76,206.292,72.898,0.488,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,3,6,15.158,21.68,10.85,184.751,73.914,0.425,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,3,7,13.221,22.028,12.642,218.715,80.01,0.429,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,3,8,10.972,22.283,11.487,201.037,80.518,0.39,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,3,9,9.163,21.982,11.503,198.598,76.962,0.421,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,3,10,5.312,19.733,9.238,143.175,67.056,0.4,,
2016moreSASmut_exp3002.tif (blue),C,sun,Col,3,11,1.305,18.527,8.625,125.503,63.839,0.387,,
2016moreSASmut_exp3002.tif (blue),C,sun,npr3,1,1,5.171,8.197,7.229,46.541,32.597,0.55,,
2016moreSASmut_exp3002.tif (blue),C,sun,npr3,1,2,5.333,7.833,6.359,39.12,37.931,0.342,,
2016moreSASmut_exp3002.tif (blue),C,sun,npr3,1,3,6.111,10.933,7.686,65.994,42.503,0.459,,
2016moreSASmut_exp3002.tif (blue),C,sun,npr3,1,4,9.859,14.385,10.858,122.677,62.399,0.396,,
2016moreSASmut_exp3002.tif (blue),C,sun,npr3,1,5,9.443,17.624,11.696,161.896,65.109,0.48,,
2016moreSASmut_exp3002.tif (blue),C,sun,npr3,1,6,10.595,19.108,12.014,180.304,72.559,0.43,,
2016moreSASmut_exp3002.tif (blue),C,sun,npr3,1,7,9.291,17.532,9.97,137.286,60.706,0.468,,
2016moreSASmut_exp3002.tif (blue),C,sun,npr3,1,8,5.384,18.859,10.158,150.455,67.818,0.411,,
2016moreSASmut_exp3002.tif (blue),C,sun,npr3,1,9,6.8,19.088,9.965,149.389,68.495,0.4,,
2016moreSASmut_exp3002.tif (blue),C,sun,npr3,1,10,1.406,15.544,7.132,87.072,56.134,0.347,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr3,2,1,3.057,6.172,5.573,27.014,27.686,0.443,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr3,2,2,5.496,5.894,3.734,17.288,23.537,0.392,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr3,2,3,5.032,11.216,9.23,81.308,43.773,0.533,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr3,2,4,7.228,14.361,9.562,107.858,51.647,0.508,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr3,2,5,6.286,15.141,8.781,104.426,52.832,0.47,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr3,2,6,7.421,15.761,8.928,110.514,54.356,0.47,,
