"","setfiles","variable","value","treatment","promoter","line","date.time","ZT"
"1","exp33","exp3_set1_shade_plate1_YUC9_line1_rep1",0,"shade","YUC9","line1",2016-06-11 12:11:00,6.18333333333333
"2","exp37","exp3_set1_shade_plate1_YUC9_line1_rep1",8.02675381663676e-05,"shade","YUC9","line1",2016-06-11 13:11:00,7.18333333333333
"4","exp311","exp3_set1_shade_plate1_YUC9_line1_rep1",9.4963927658398e-05,"shade","YUC9","line1",2016-06-11 14:11:00,8.18333333333333
"6","exp315","exp3_set1_shade_plate1_YUC9_line1_rep1",9.38334414755104e-05,"shade","YUC9","line1",2016-06-11 15:11:00,9.18333333333333
"8","exp319","exp3_set1_shade_plate1_YUC9_line1_rep1",0.000101972922230686,"shade","YUC9","line1",2016-06-11 16:11:00,10.1833333333333
"10","exp324","exp3_set1_shade_plate1_YUC9_line1_rep1",0.000104120833103849,"shade","YUC9","line1",2016-06-11 17:26:00,11.4333333333333
"12","exp327","exp3_set1_shade_plate1_YUC9_line1_rep1",0.000130234651642525,"shade","YUC9","line1",2016-06-11 18:11:00,12.1833333333333
"14","exp339","exp3_set1_shade_plate1_YUC9_line1_rep1",0.000155782778573865,"shade","YUC9","line1",2016-06-11 21:11:00,15.1833333333333
"16","exp343","exp3_set1_shade_plate1_YUC9_line1_rep1",0.000156574085018235,"shade","YUC9","line1",2016-06-11 22:11:00,16.1833333333333
"17","exp375","exp3_set1_shade_plate1_YUC9_line1_rep1",0.000334607000425535,"shade","YUC9","line1",2016-06-12 06:11:00,24.1833333333333
"18","exp377","exp3_set1_shade_plate1_YUC9_line1_rep1",0.000345005704311063,"shade","YUC9","line1",2016-06-12 06:41:00,24.6833333333333
"19","exp388","exp3_set1_shade_plate1_YUC9_line1_rep1",0.000312226926943993,"shade","YUC9","line1",2016-06-12 09:26:00,27.4333333333333
"20","exp392","exp3_set1_shade_plate1_YUC9_line1_rep1",0.000304879857431217,"shade","YUC9","line1",2016-06-12 10:26:00,28.4333333333333
"21","exp3108","exp3_set1_shade_plate1_YUC9_line1_rep1",0.000279221336555224,"shade","YUC9","line1",2016-06-12 14:26:00,32.4333333333333
"22","exp3124","exp3_set1_shade_plate1_YUC9_line1_rep1",0.000282838424396914,"shade","YUC9","line1",2016-06-12 18:26:00,36.4333333333333
"23","exp3141","exp3_set1_shade_plate1_YUC9_line1_rep1",0.000328051257277195,"shade","YUC9","line1",2016-06-12 22:41:00,40.6833333333333
"24","exp3171","exp3_set1_shade_plate1_YUC9_line1_rep1",0.000358003978771393,"shade","YUC9","line1",2016-06-13 06:11:00,48.1833333333333
"25","exp3173","exp3_set1_shade_plate1_YUC9_line1_rep1",0.000375636233464149,"shade","YUC9","line1",2016-06-13 06:41:00,48.6833333333333
"26","exp3189","exp3_set1_shade_plate1_YUC9_line1_rep1",0.000416325229551262,"shade","YUC9","line1",2016-06-13 10:41:00,52.6833333333333
"27","exp3203","exp3_set1_shade_plate1_YUC9_line1_rep1",0.000363090228201912,"shade","YUC9","line1",2016-06-13 14:11:00,56.1833333333333
"28","exp33","exp3_set1_shade_plate1_YUC8_line1_rep1",0,"shade","YUC8","line1",2016-06-11 12:11:00,6.18333333333333
"29","exp37","exp3_set1_shade_plate1_YUC8_line1_rep1",9.38438691413523e-05,"shade","YUC8","line1",2016-06-11 13:11:00,7.18333333333333
"31","exp311","exp3_set1_shade_plate1_YUC8_line1_rep1",9.90446761335306e-05,"shade","YUC8","line1",2016-06-11 14:11:00,8.18333333333333
"33","exp315","exp3_set1_shade_plate1_YUC8_line1_rep1",0.000115325342033401,"shade","YUC8","line1",2016-06-11 15:11:00,9.18333333333333
"35","exp319","exp3_set1_shade_plate1_YUC8_line1_rep1",0.000130362182744648,"shade","YUC8","line1",2016-06-11 16:11:00,10.1833333333333
"37","exp324","exp3_set1_shade_plate1_YUC8_line1_rep1",0.000142798549127576,"shade","YUC8","line1",2016-06-11 17:26:00,11.4333333333333
"39","exp327","exp3_set1_shade_plate1_YUC8_line1_rep1",0.000159757057797805,"shade","YUC8","line1",2016-06-11 18:11:00,12.1833333333333
"41","exp339","exp3_set1_shade_plate1_YUC8_line1_rep1",0.000192769049618846,"shade","YUC8","line1",2016-06-11 21:11:00,15.1833333333333
"43","exp343","exp3_set1_shade_plate1_YUC8_line1_rep1",0.000190960192917089,"shade","YUC8","line1",2016-06-11 22:11:00,16.1833333333333
"44","exp375","exp3_set1_shade_plate1_YUC8_line1_rep1",0.000233580776132669,"shade","YUC8","line1",2016-06-12 06:11:00,24.1833333333333
"45","exp377","exp3_set1_shade_plate1_YUC8_line1_rep1",0.000225780286069011,"shade","YUC8","line1",2016-06-12 06:41:00,24.6833333333333
"46","exp388","exp3_set1_shade_plate1_YUC8_line1_rep1",0.000231206718403598,"shade","YUC8","line1",2016-06-12 09:26:00,27.4333333333333
"47","exp392","exp3_set1_shade_plate1_YUC8_line1_rep1",0.000220466884634618,"shade","YUC8","line1",2016-06-12 10:26:00,28.4333333333333
"48","exp3108","exp3_set1_shade_plate1_YUC8_line1_rep1",0.000223406215507538,"shade","YUC8","line1",2016-06-12 14:26:00,32.4333333333333
"49","exp3124","exp3_set1_shade_plate1_YUC8_line1_rep1",0.000249520776844037,"shade","YUC8","line1",2016-06-12 18:26:00,36.4333333333333
"50","exp3141","exp3_set1_shade_plate1_YUC8_line1_rep1",0.000283322039621225,"shade","YUC8","line1",2016-06-12 22:41:00,40.6833333333333
"51","exp3171","exp3_set1_shade_plate1_YUC8_line1_rep1",0.000285582965396713,"shade","YUC8","line1",2016-06-13 06:11:00,48.1833333333333
"52","exp3173","exp3_set1_shade_plate1_YUC8_line1_rep1",0.000273713065553238,"shade","YUC8","line1",2016-06-13 06:41:00,48.6833333333333
"53","exp3189","exp3_set1_shade_plate1_YUC8_line1_rep1",0.000276878381725965,"shade","YUC8","line1",2016-06-13 10:41:00,52.6833333333333
"54","exp3203","exp3_set1_shade_plate1_YUC8_line1_rep1",0.000282530714763141,"shade","YUC8","line1",2016-06-13 14:11:00,56.1833333333333
"55","exp33","exp3_set1_shade_plate2_YUC8_line2_rep1",0,"shade","YUC8","line2",2016-06-11 12:11:00,6.18333333333333
"56","exp37","exp3_set1_shade_plate2_YUC8_line2_rep1",6.2410965362858e-05,"shade","YUC8","line2",2016-06-11 13:11:00,7.18333333333333
"58","exp311","exp3_set1_shade_plate2_YUC8_line2_rep1",7.63173887357027e-05,"shade","YUC8","line2",2016-06-11 14:11:00,8.18333333333333
"60","exp315","exp3_set1_shade_plate2_YUC8_line2_rep1",9.5650486315435e-05,"shade","YUC8","line2",2016-06-11 15:11:00,9.18333333333333
"62","exp319","exp3_set1_shade_plate2_YUC8_line2_rep1",0.000119279475974565,"shade","YUC8","line2",2016-06-11 16:11:00,10.1833333333333
