 ,Slice,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11
1,1,25520288,262236912,25517158,262204736,25517868,262212048,25520782,262241984,25517876,262212128,25522924,262263984,25565820,262704784,25565820,262704784,25565820,262704784,25565820,262704784,25565820,262704784
2,2,25556642,262610464,25556642,262610464,25556642,262610464,25556642,262610464,25556642,262610464,25556642,262610464,25522486,262259488,25565352,262699968,25519002,262223696,25522470,262259328,25524678,262282016
3,3,25521774,262252176,25518938,262223040,25519568,262229504,25522584,262260496,25519740,262231280,25524056,262275632,25535988,262398240,25535988,262398240,25535988,262398240,25535988,262398240,25535988,262398240
4,4,25607890,263137088,25607890,263137088,25607890,263137088,25607890,263137088,25607890,263137088,25607890,263137088,25523674,262271696,25526622,262301984,25519784,262231728,25523624,262271200,25565676,262703312
5,5,25523194,262266768,25520598,262240096,25520672,262240864,25523392,262268816,25520564,262239744,25524868,262283984,25589532,262948448,25589532,262948448,25589532,262948448,25589532,262948448,25589532,262948448
6,6,25592592,262979872,25592592,262979872,25592592,262979872,25592592,262979872,25592592,262979872,25592592,262979872,25523568,262270624,25527842,262314528,25519782,262231696,25523610,262271056,25561318,262658528
7,7,25523454,262269440,25520690,262241040,25520918,262243392,25523782,262272816,25520858,262242752,25525284,262288240,25551286,262555440,25551286,262555440,25551286,262555440,25551286,262555440,25551286,262555440
8,8,25538284,262421824,25538284,262421824,25538284,262421824,25538284,262421824,25538284,262421824,25538284,262421824,25524078,262275840,25527322,262309200,25520686,262240992,25524220,262277312,25566650,262713312
9,9,25523434,262269232,25520978,262244000,25521260,262246896,25524100,262276080,25521326,262247584,25525478,262290240,25535988,262398240,25535988,262398240,25535988,262398240,25535988,262398240,25535988,262398240
10,10,25567350,262720496,25567350,262720496,25567350,262720496,25567350,262720496,25567350,262720496,25567350,262720496,25524210,262277200,25527504,262311056,25520696,262241088,25524574,262280944,25564700,262693264
