 ,Label,IntDen,RawIntDen
1,set1.tif:exp478,25607973.66,262317839
2,set1.tif:exp478,25613088.27,262370231
3,set1.tif:exp478,25622935.1,262471098
4,set1.tif:exp478,25613289.57,262372293
5,set1.tif:exp478,25604737.01,262284684
6,set1.tif:exp478,25638281.07,262628296
7,set1.tif:exp478,25604614.3,262283427
8,set1.tif:exp478,25624137.12,262483411
9,set1.tif:exp478,25615070.09,262390532
10,set1.tif:exp478,25612389.2,262363070
11,set1.tif:exp482,25608380.36,262322005
12,set1.tif:exp482,25613161.49,262370981
13,set1.tif:exp482,25620887.09,262450119
14,set1.tif:exp482,25613285.17,262372248
15,set1.tif:exp482,25605271.78,262290162
16,set1.tif:exp482,25637135.77,262616564
17,set1.tif:exp482,25604800.95,262285339
18,set1.tif:exp482,25621095.51,262452254
19,set1.tif:exp482,25615394.69,262393857
20,set1.tif:exp482,25611904.99,262358110
21,set1.tif:exp486,25608101.35,262319147
22,set1.tif:exp486,25611619.16,262355182
23,set1.tif:exp486,25619620.93,262437149
24,set1.tif:exp486,25612802.63,262367305
25,set1.tif:exp486,25604979.11,262287164
26,set1.tif:exp486,25636281,262607808
27,set1.tif:exp486,25604408.7,262281321
28,set1.tif:exp486,25619275.06,262433606
29,set1.tif:exp486,25615402.2,262393934
30,set1.tif:exp486,25611153.5,262350412
31,set1.tif:exp490,25609200.48,262330406
32,set1.tif:exp490,25611477.22,262353728
33,set1.tif:exp490,25619652.37,262437471
34,set1.tif:exp490,25612835.14,262367638
35,set1.tif:exp490,25604959.1,262286959
36,set1.tif:exp490,25635094.5,262595654
37,set1.tif:exp490,25604528.78,262282551
38,set1.tif:exp490,25619389.57,262434779
39,set1.tif:exp490,25615874.3,262398770
40,set1.tif:exp490,25610733.34,262346108
41,set1.tif:exp494,25612277.72,262361928
42,set1.tif:exp494,25611840.86,262357453
43,set1.tif:exp494,25619759.26,262438566
44,set1.tif:exp494,25613709.93,262376599
45,set1.tif:exp494,25605757.35,262295136
46,set1.tif:exp494,25634192.86,262586418
47,set1.tif:exp494,25605224.04,262289673
48,set1.tif:exp494,25621390.14,262455272
49,set1.tif:exp494,25616948.24,262409771
50,set1.tif:exp494,25611025.32,262349099
51,set1.tif:exp498,25613901.07,262378557
52,set1.tif:exp498,25611256.79,262351470
53,set1.tif:exp498,25619250.07,262433350
54,set1.tif:exp498,25613636.61,262375848
55,set1.tif:exp498,25605487.62,262292373
56,set1.tif:exp498,25637160.86,262616821
57,set1.tif:exp498,25604932.64,262286688
58,set1.tif:exp498,25621763.83,262459100
59,set1.tif:exp498,25616953.71,262409827
60,set1.tif:exp498,25610734.31,262346118
61,set1.tif:exp4102,25615190.75,262391768
62,set1.tif:exp4102,25611096,262349823
63,set1.tif:exp4102,25619092.02,262431731
64,set1.tif:exp4102,25613592.88,262375400
65,set1.tif:exp4102,25605590.32,262293425
66,set1.tif:exp4102,25634443.46,262588985
67,set1.tif:exp4102,25605048.52,262287875
68,set1.tif:exp4102,25621699.7,262458443
69,set1.tif:exp4102,25617320.67,262413586
