 ,Slice,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,,background
1,1,25529800,262334656,25538528,262424336,25525994,262295552,25526040,262296032,25532584,262363248,25535452,262392736,25527972,262315872,25526730,262303104,25549602,262538144,25526462,262300368,25528544,262321744,25526704,262302832,25363182,262250736
2,2,25248938,259448624,25260400,259566384,25259264,259554720,25263706,259600384,25255736,259518464,25265860,259622512,25239408,259350688,25271334,259678736,25278560,259752992,24994390,256832976,24986800,256754992,24981564,256701184,25363182,262250736
3,3,25529710,262333712,25538412,262423152,25526240,262298064,25526158,262297232,25533760,262375360,25535552,262393744,25527796,262314064,25526770,262303520,25547748,262519072,25526676,262302544,25528736,262323728,25526542,262301184,25363274,262251680
4,4,25530776,262344672,25539878,262438208,25527856,262314672,25527058,262306480,25534088,262378704,25536230,262400736,25528600,262322304,25526968,262305552,25546696,262508256,25527868,262314800,25529736,262334000,25526582,262301584,25363814,262257264
5,5,25531380,262350880,25540098,262440480,25529572,262332304,25530112,262337856,25537552,262414304,25538448,262423504,25529562,262332208,25527506,262311072,25546608,262507360,25528268,262318896,25530126,262338016,25526882,262304672,25363986,262259040
6,6,25532910,262366592,25542170,262461760,25532068,262357968,25529938,262336064,25537242,262411120,25537556,262414352,25529378,262330320,25527640,262312464,25546484,262506080,25529088,262327344,25530956,262346544,25527730,262313376,25364606,262265456
7,7,25531966,262356912,25541886,262458848,25532134,262358640,25529872,262335392,25537908,262417968,25536844,262407024,25528116,262317344,25526732,262303120,25545720,262498240,25528732,262323664,25530428,262341104,25527282,262308784,25363570,262254752
8,8,25532094,262358224,25542020,262460224,25532588,262363296,25529758,262334224,25537924,262418128,25537528,262414064,25528066,262316848,25526600,262301776,25546492,262506176,25528684,262323184,25531230,262349344,25527116,262307072,25363496,262253968
9,9,25532462,262362016,25542420,262464336,25532886,262366368,25530066,262337376,25538780,262426928,25537846,262417328,25528448,262320752,25526992,262305808,25547046,262511872,25528868,262325088,25531846,262355664,25527370,262309680,25363410,262253088
10,10,25533356,262371184,25542950,262469776,25533542,262373104,25531106,262348064,25539996,262439424,25538836,262427488,25529044,262326880,25528076,262316944,25548654,262528400,25529712,262333744,25532570,262363120,25528390,262320160,25364228,262261552
11,11,25533288,262370496,25542766,262467888,25532668,262364128,25530418,262341008,25539226,262431520,25538800,262427136,25528844,262324832,25527666,262312720,25549076,262532720,25528918,262325584,25531752,262354704,25528324,262319488,25363738,262256464
12,12,25533760,262375344,25542720,262467408,25533326,262370880,25531056,262347552,25539784,262437232,25539558,262434928,25529450,262331056,25528378,262320032,25549872,262540912,25528804,262324416,25530152,262338256,25528944,262325856,25364358,262262896
13,13,25533468,262372336,25540446,262444048,25530610,262342960,25529424,262330784,25539362,262432896,25538022,262419136,25530364,262340448,25529396,262330496,25543496,262475392,25528038,262316544,25528288,262319104,25529746,262334112,25365884,262278672
14,14,25533336,262370976,25539230,262431552,25531548,262352608,25531992,262357184,25545316,262494096,25540622,262445856,25530854,262345472,25530348,262340288,25545162,262492496,25528740,262323760,25528550,262321808,25531582,262352960,25366028,262280144
15,15,25534872,262386768,25543032,262470608,25532880,262366304,25531304,262350112,25544208,262482688,25540684,262446496,25531008,262347056,25529454,262331104,25548170,262523408,25528964,262326048,25528534,262321648,25532978,262367312,25365770,262277488
16,16,25534176,262379632,25540074,262440224,25529838,262335040,25528250,262318736,25538608,262425152,25537928,262418160,25531504,262352160,25528894,262325328,25547380,262515296,25526468,262300416,25527040,262306304,25529620,262332800,25365216,262271744
17,17,25532638,262363808,25537640,262415216,25531200,262349040,25528796,262324336,25537026,262408896,25537404,262412800,25530310,262339904,25527988,262316032,25547028,262511680,25527624,262312304,25528872,262325120,25529464,262331200,25364846,262267936
18,18,25533930,262377088,25539040,262429600,25534112,262378960,25531226,262349296,25540716,262446816,25538318,262422176,25530770,262344624,25528622,262322560,25550336,262545680,25531004,262347040,25533394,262371584,25530200,262338752,25365364,262273296
19,19,25534794,262385984,25540814,262447840,25534196,262379824,25531914,262356384,25540822,262447920,25540470,262444304,25530952,262346480,25529376,262330288,25553044,262573488,25531548,262352624,25534172,262379568,25531260,262349664,25365368,262273328
