 ,Slice,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,,background
1,1,25259032,259552336,25237828,259334448,25229601.61,259249925,25238650,259342896,25234088,259296016,25253922,259499840,25221816,259169920,25254212,259502800,25246022,259418656,24978052,256665088,24972788,256611008,24994876,256837968,24999914,256889744,24972862,256611776,24969456,256576752,24977986,256664416,24957606,256454992,24992178,256810256,24980742,256692736,24975394,256637792,24966516,256546560,24968850,256570544,25362450,262259136
2,2,25560902,262654256,25532928,262366800,25525729.97,262292829,25527076,262306656,25526438,262300096,25538136,262420320,25524940,262284720,25524914,262284432,25529142,262327888,25532448,262361856,25537234,262411040,25557516,262619440,25563312,262679008,25525196,262287344,25525666,262292176,25524710,262282336,25523106,262265856,25525864,262294208,25527114,262307056,25524758,262282848,25525830,262293856,25525014,262285472,25362450,262259136
3,3,25561408,262659440,25533218,262369760,25525989.03,262295491,25528286,262319104,25526294,262298624,25540676,262446416,25525386,262289296,25525054,262285888,25529382,262330368,25532980,262367328,25537596,262414768,25556278,262606736,25563348,262679376,25525296,262288384,25525778,262293328,25524788,262283152,25523052,262265296,25525738,262292912,25527082,262306720,25524622,262281440,25526034,262295968,25525120,262286560,25362344,262258064
4,4,25571314,262761248,25540178,262441280,25526526.12,262301010,25530172,262338464,25527240,262308336,25544674,262487488,25526464,262300368,25525690,262292416,25530232,262339088,25534092,262378752,25538898,262428128,25553152,262574608,25562488,262670528,25525908,262294656,25526010,262295696,25524962,262284944,25523750,262272496,25526122,262296848,25527412,262310112,25525092,262286288,25526066,262296288,25525194,262287328,25362806,262262816
5,5,25570224,262750032,25541602,262455920,25526829.85,262304131,25531852,262355728,25527324,262309216,25545090,262491760,25527028,262306176,25526042,262296032,25530488,262341728,25534642,262384416,25538938,262428544,25549296,262534976,25561458,262659952,25526338,262299088,25526486,262300608,25525246,262287872,25523932,262274352,25526348,262299184,25527666,262312720,25525160,262286960,25526278,262298464,25525362,262289056,25363058,262265424
6,6,25570408,262751936,25545414,262495104,25526905.86,262304912,25531986,262357120,25527386,262309840,25544426,262484944,25526446,262300176,25525544,262290912,25530014,262336848,25534846,262386496,25539316,262432448,25548838,262530272,25561494,262660320,25526264,262298320,25526354,262299248,25524962,262284928,25523674,262271696,25525874,262294304,25527060,262306496,25524740,262282656,25525826,262293824,25525044,262285776,25362516,262259840
7,7,25568254,262729792,25543870,262479216,25526965.9,262305529,25532800,262365488,25527336,262309328,25544440,262485088,25526762,262303440,25525924,262294832,25530694,262343840,25535534,262393568,25540520,262444800,25548208,262523808,25560822,262653424,25526628,262302048,25526812,262303952,25525258,262287968,25524048,262275552,25526262,262298288,25527342,262309392,25525156,262286944,25526180,262297440,25525320,262288624,25362812,262262880
8,8,25571256,262760640,25546704,262508352,25527531.12,262311337,25533062,262368160,25528024,262316400,25543788,262478400,25527016,262306048,25526250,262298160,25531280,262349872,25535988,262398240,25541476,262454640,25548054,262522224,25561160,262656896,25527098,262306896,25527168,262307616,25525552,262290992,25524314,262278288,25526590,262301664,25527610,262312144,25525384,262289280,25526856,262304384,25525892,262294480,25362984,262264656
9,9,25569966,262747376,25545284,262493744,25527360.92,262309588,25532644,262363872,25527660,262312656,25542734,262467552,25526916,262305008,25526300,262298688,25531512,262352240,25535930,262397648,25541852,262458496,25547348,262514976,25561220,262657504,25527022,262306096,25527290,262308848,25525670,262292208,25524136,262276448,25526640,262302192,25527712,262313200,25525456,262290016,25526682,262302608,25525792,262293472,25362942,262264240
10,10,25569732,262744976,25544162,262482224,25527342.04,262309394,25532004,262357296,25527530,262311328,25541788,262457840,25526648,262302256,25526268,262298352,25531110,262348112,25535640,262394672,25541938,262459376,25546816,262509504,25561656,262661984,25526814,262303968,25527280,262308752,25525446,262289904,25523968,262274720,25526478,262300528,25527688,262312960,25525330,262288720,25526602,262301792,25525630,262291792,25362712,262261856
11,11,25569520,262742800,25543786,262478368,25527687.32,262312942,25532206,262359360,25528148,262317680,25542086,262460896,25527280,262308752,25526538,262301120,25531694,262354112,25536042,262398800,25542542,262465568,25546838,262509728,25561500,262660384,25527270,262308656,25527892,262315056,25525924,262294832,25524634,262281568,25526982,262305696,25528376,262320032,25525966,262295248,25527330,262309264,25526256,262298224,25363390,262268864
12,12,25573390,262782560,25544382,262484496,25527689.56,262312965,25532260,262359920,25527940,262315536,25541932,262459312,25527178,262307712,25526574,262301488,25531226,262349312,25535898,262397312,25543140,262471728,25548480,262526608,25562766,262673392,25527178,262307712,25527876,262314880,25526064,262296272,25524748,262282736,25526878,262304624,25528156,262317744,25525922,262294800,25527240,262308352,25526138,262297024,25363460,262269584
13,13,25569672,262744368,25541914,262459120,25527179.61,262307725,25531078,262347776,25527378,262309760,25540996,262449712,25526868,262304528,25526282,262298496,25530676,262343648,25535226,262390416,25542466,262464800,25547192,262513360,25558368,262628208,25526412,262299824,25527304,262308992,25525728,262292816,25524462,262279792,25526556,262301312,25527730,262313376,25525536,262290832,25526632,262302112,25525630,262291808,25363102,262265888
14,14,25570130,262749056,25542122,262461264,25527803.03,262314131,25531676,262353936,25528126,262317456,25540966,262449392,25527300,262308976,25526896,262304816,25531468,262351792,25535666,262394928,25543232,262472672,25548456,262526352,25558680,262631408,25527080,262306688,25527924,262315376,25526346,262299152,25524984,262285152,25527324,262309200,25528638,262322704,25526228,262297952,25527268,262308640,25526352,262299216,25363772,262272816
15,15,25568772,262735104,25541302,262452832,25527660.65,262312668,25531252,262349568,25527880,262314928,25540472,262444320,25527106,262306976,25526822,262304048,25531318,262350256,25535594,262394192,25543182,262472160,25548186,262523584,25558150,262625968,25526728,262303088,25527732,262313408,25526332,262299008,25524870,262284000,25527272,262308672,25528654,262322880,25526288,262298576,25527236,262308304,25526338,262299088,25363834,262273456
16,16,25567376,262720752,25540496,262444560,25527355.27,262309530,25530806,262344992,25527642,262312464,25539820,262437616,25526630,262302080,25526350,262299184,25530840,262345344,25534930,262387360,25542768,262467904,25547428,262515792,25557858,262622960,25526538,262301136,25527402,262310016,25526070,262296320,25524526,262280448,25526818,262304016,25528794,262324304,25525852,262294080,25526736,262303168,25525804,262293600,25363410,262269056
17,17,25567526,262722320,25540588,262445504,25527947.45,262315615,25531312,262350192,25528292,262319152,25540570,262445328,25527548,262311504,25526862,262304448,25531292,262349984,25535440,262392608,25543458,262474992,25548072,262522416,25558964,262634320,25527178,262307712,25528054,262316720,25526732,262303120,25525298,262288384,25527284,262308800,25528930,262325712,25526546,262301216,25527626,262312320,25526630,262302080,25364116,262276368
18,18,25566922,262716096,25540212,262441648,25527816.17,262314266,25531148,262348512,25528148,262317664,25540220,262441728,25527274,262308704,25526894,262304784,25531294,262350016,25535162,262389744,25543384,262474224,25547552,262517056,25558346,262627984,25526996,262305840,25527878,262314912,25526442,262300144,25525230,262287680,25527314,262309104,25529042,262326864,25526406,262299776,25527524,262311264,25526478,262300528,25363994,262275104
19,19,25565502,262701504,25539726,262436656,25527765.76,262313748,25530946,262346416,25528092,262317104,25540046,262439920,25527340,262309360,25526876,262304608,25531202,262349056,25534944,262387520,25543204,262472384,25547160,262513024,25557042,262614576,25526948,262305344,25527982,262315968,25526450,262300224,25525218,262287552,25527336,262309328,25529052,262326976,25526398,262299680,25527594,262311968,25526534,262301088,25364064,262275824
20,20,25563968,262685760,25539142,262430640,25527610.34,262312151,25530652,262343424,25527996,262316112,25539938,262438832,25527186,262307792,25526724,262303056,25531002,262346992,25534942,262387488,25543218,262472528,25546578,262507056,25555970,262603552,25526854,262304384,25527822,262314336,25526214,262297808,25525192,262287312,25527242,262308368,25528924,262325648,25526546,262301216,25527534,262311360,25526526,262301008,25364250,262277744
21,21,25562498,262670640,25538416,262423184,25527117.82,262307090,25530162,262338384,25527458,262310576,25539422,262433520,25526730,262303104,25526220,262297856,25530486,262341696,25534100,262378832,25542414,262464272,25545348,262494432,25554778,262591328,25526440,262300128,25527360,262309584,25525664,262292144,25524586,262281072,25526726,262303072,25528370,262319968,25525892,262294496,25526864,262304480,25525706,262292576,25363588,262270928
22,22,25561776,262663232,25537998,262418880,25527167.64,262307602,25529924,262335936,25527442,262310432,25539368,262432976,25526816,262304000,25526324,262298928,25530516,262342016,25534400,262381920,25542782,262468048,25545918,262500272,25554418,262587616,25526296,262298640,25527474,262310752,25525798,262293520,25524686,262282096,25526778,262303600,25528370,262319968,25526198,262297632,25527582,262311872,25526512,262300880,25363590,262270928
23,23,25561994,262665472,25538532,262424368,25527750.58,262313592,25530598,262342848,25528132,262317520,25539870,262438112,25527296,262308912,25527038,262306272,25531158,262348608,25534632,262384304,25542960,262469872,25545940,262500496,25555206,262595712,25527140,262307328,25528168,262317872,25526450,262300224,25525352,262288944,25527488,262310896,25529066,262327104,25526588,262301648,25527692,262312992,25526586,262301632,25364280,262278064
24,24,25561586,262661264,25538386,262422880,25527791.94,262314017,25530580,262342656,25528124,262317424,25540244,262441968,25527464,262310656,25527214,262308080,25531168,262348704,25534500,262382944,25542954,262469824,25545786,262498912,25555382,262597520,25527216,262308112,25528364,262319904,25526590,262301680,25525502,262290496,25527586,262311888,25529140,262327872,25526656,262302352,25527548,262311504,25526418,262299888,25364250,262277760
25,25,25560750,262652688,25537638,262415184,25527075.58,262306656,25529904,262335712,25527342,262309408,25539500,262434320,25526694,262302720,25526636,262302144,25530620,262343088,25534598,262383952,25543174,262472080,25545608,262497088,25554900,262592576,25526508,262300832,25527680,262312864,25525948,262295072,25524550,262280704,25527098,262306880,25528638,262322720,25527020,262306096,25527472,262310720,25526318,262298864,25364420,262279520
26,26,25561238,262657696,25538222,262421200,25527699.87,262313071,25530548,262342352,25527976,262315920,25539970,262439152,25527332,262309296,25527248,262308432,25531170,262348720,25534644,262384432,25542948,262469744,25545740,262498448,25555440,262598112,25527076,262306672,25528398,262320240,25526670,262302496,25525340,262288816,25527646,262312512,25529164,262328128,25526860,262304432,25527750,262313584,25526602,262301776,25364366,262278960
27,27,25560934,262654560,25537744,262416288,25527172.51,262307652,25530150,262338240,25527380,262309792,25539556,262434896,25526968,262305568,25526546,262301216,25530490,262341744,25534178,262379632,25542578,262465952,25545028,262491120,25555248,262596144,25526612,262301888,25527882,262314944,25526074,262296352,25524802,262283296,25526900,262304864,25528394,262320208,25526526,262301008,25527128,262307200,25525958,262295168,25363942,262274576
28,28,25560872,262653952,25537820,262417056,25527589.61,262311938,25530496,262341808,25527756,262313664,25539926,262438688,25527288,262308832,25527270,262308656,25531072,262347712,25534250,262380368,25542748,262467712,25545522,262496208,25554978,262593376,25526986,262305728,25528294,262319184,25526462,262300352,25525380,262289232,25527564,262311664,25529054,262326976,25526748,262303296,25527602,262312064,25526448,262300208,25364342,262278704
29,29,25560840,262653600,25537580,262414608,25527787.85,262313975,25530462,262341440,25527888,262314992,25540092,262440416,25527420,262310208,25527318,262309152,25531072,262347728,25534306,262380960,25542850,262468752,25545496,262495936,25554754,262591056,25526974,262305616,25528520,262321488,25526686,262302656,25525550,262290976,25527620,262312240,25529074,262327184,25526942,262305280,25527568,262311712,25526446,262300192,25364462,262279936
30,30,25560602,262651168,25537710,262415936,25527936.74,262315505,25530642,262343296,25528092,262317088,25539928,262438720,25527518,262311200,25527564,262311680,25531274,262349792,25534360,262381504,25542932,262469600,25545410,262495056,25554404,262587472,25527186,262307776,25528718,262323536,25526830,262304128,25525542,262290896,25527894,262315072,25529302,262329536,25526984,262305728,25527650,262312560,25526498,262300720,25364576,262281120
31,31,25560274,262647776,25537528,262414064,25527806.05,262314162,25530404,262340848,25527962,262315776,25539900,262438432,25527450,262310512,25527356,262309536,25531008,262347056,25534254,262380416,25542800,262468224,25545288,262493792,25553886,262582160,25527122,262307136,25528636,262322688,25526742,262303232,25525574,262291216,25527552,262311536,25528976,262326192,25526856,262304400,25527656,262312624,25526516,262300912,25364422,262279536
32,32,25560030,262645296,25537604,262414832,25527912.22,262315253,25530448,262341312,25528014,262316304,25539700,262436384,25527338,262309360,25527542,262311456,25531108,262348096,25534280,262380688,25542968,262469952,25545282,262493744,25553770,262580960,25527212,262308048,25528732,262323680,25526806,262303872,25525302,262288432,25527796,262314064,25529188,262328368,25526930,262305168,25527800,262314096,25526712,262302912,25364456,262279872
33,33,25559412,262638928,25537444,262413200,25528001.65,262316172,25530268,262339456,25528076,262316928,25539906,262438496,25527564,262311680,25527434,262310352,25530994,262346928,25534112,262378960,25542592,262466096,25544836,262489152,25553140,262574480,25527130,262307216,25528860,262324992,25526908,262304944,25525656,262292080,25527682,262312896,25529038,262326832,25526774,262303552,25527630,262312352,25526516,262300912,25364326,262278528
34,34,25559142,262636160,25537282,262411536,25527976.94,262315918,25530266,262339456,25528036,262316512,25539794,262437344,25527452,262310528,25527644,262312496,25531218,262349216,25534262,262380496,25542696,262467152,25544862,262489424,25552860,262571616,25527360,262309584,25528830,262324688,25526832,262304144,25525824,262293808,25527888,262315008,25529252,262329024,25526966,262305520,25527918,262315312,25526916,262305024,25364606,262281440
35,35,25558684,262631456,25536898,262407584,25527954.07,262315683,25530210,262338848,25528268,262318912,25539780,262437200,25527784,262313952,25527718,262313248,25531258,262349632,25534410,262382032,25542872,262468976,25544488,262485584,25552446,262567360,25527158,262307504,25528848,262324864,25526836,262304192,25525820,262293744,25527972,262315872,25529344,262329968,25527184,262307776,25527814,262314240,25526768,262303488,25364838,262283824
36,36,25558168,262626160,25536578,262404304,25527982.19,262315972,25530094,262337664,25528080,262316976,25539630,262435664,25527684,262312912,25527402,262310000,25530902,262345984,25534238,262380256,25542732,262467536,25544192,262482528,25552000,262562768,25527118,262307088,25528872,262325104,25526836,262304192,25525756,262293104,25527648,262312544,25529040,262326848,25526982,262305696,25527730,262313392,25526676,262302544,25364406,262279376
37,37,25557708,262621424,25536208,262400480,25527876.12,262314882,25529920,262335872,25527948,262315616,25539248,262431728,25527438,262310384,25527524,262311264,25531016,262347152,25534382,262381744,25542530,262465456,25543960,262480144,25551536,262558000,25526928,262305136,25528768,262324048,25526714,262302928,25525662,262292128,25527764,262313728,25529098,262327440,25527002,262305904,25527552,262311552,25526542,262301168,25364646,262281856
38,38,25557632,262620656,25536168,262400080,25527959.91,262315743,25529958,262336272,25528064,262316816,25539356,262432848,25527604,262312080,25527474,262310752,25530958,262346544,25533976,262377568,25542516,262465312,25543888,262479408,25551496,262557600,25526976,262305648,25528902,262325424,25526868,262304528,25525652,262292032,25527798,262314080,25529100,262327456,25526900,262304848,25527744,262313520,25526720,262303008,25364508,262280432
39,39,25557310,262617344,25535884,262397168,25528000.39,262316159,25529906,262335744,25528198,262318176,25539264,262431888,25527586,262311904,25527444,262310448,25530898,262345936,25533906,262376848,25542578,262465952,25543774,262478240,25551032,262552832,25526964,262305520,25528818,262324560,25526814,262303968,25525560,262291072,25527746,262313552,25529018,262326608,25526894,262304784,25527834,262314448,25526842,262304256,25364454,262279872
40,40,25556908,262613216,25535690,262395184,25528024.23,262316404,25529692,262333536,25528032,262316480,25539200,262431248,25527532,262311344,25527624,262312304,25531052,262347520,25533932,262377120,25542672,262466912,25543336,262473744,25550672,262549120,25526900,262304864,25528872,262325120,25526872,262304576,25525774,262293296,25527878,262314912,25529122,262327680,25526982,262305696,25527612,262312176,25526610,262301856,25364548,262280832
41,41,25556918,262613312,25535694,262395216,25527899.96,262315127,25529754,262334176,25527930,262315440,25539220,262431440,25527620,262312240,25527738,262313472,25531150,262348512,25533820,262375968,25542640,262466608,25543246,262472816,25550530,262547664,25527046,262306336,25528756,262323920,25526730,262303104,25525872,262294288,25527952,262315664,25529164,262328128,25527048,262306368,25527742,262313504,25526740,262303200,25364736,262282784
42,42,25554616,262589648,25534892,262386976,25527738.31,262313466,25529238,262328880,25527708,262313152,25538624,262425312,25527450,262310512,25527192,262307856,25530378,262340592,25533048,262368032,25541886,262458848,25541672,262456640,25548130,262523008,25526658,262302368,25528616,262322496,25526700,262302800,25525556,262291040,25527632,262312384,25528672,262323072,25526894,262304784,25527488,262310896,25526574,262301504,25364722,262282640
43,43,25557362,262617872,25536842,262407008,25527982.87,262315979,25530074,262337456,25528178,262317984,25540610,262445728,25527696,262313024,25527594,262312000,25531532,262352448,25534392,262381840,25543064,262470944,25543732,262477824,25549950,262541712,25526654,262302336,25528216,262318368,25526658,262302368,25525764,262293168,25528596,262322272,25528868,262325072,25527036,262306240,25527828,262314384,25526926,262305120,25364554,262280896
44,44,25561024,262655488,25537470,262413456,25527918.06,262315313,25530718,262344080,25528348,262319728,25541838,262458352,25527722,262313312,25527918,262315312,25531822,262355424,25535160,262389728,25544512,262485824,25545312,262494032,25553602,262579232,25526676,262302560,25528548,262321792,25526362,262299312,25525556,262291040,25528390,262320160,25529106,262327520,25527030,262306176,25527692,262312992,25526510,262300848,25364230,262277552
45,45,25558658,262631184,25535762,262395920,25527557.11,262311604,25528860,262324976,25527838,262314496,25538974,262428912,25527384,262309824,25527434,262310336,25530896,262345920,25534692,262384912,25542778,262468016,25543780,262478288,25552122,262564016,25525682,262292336,25527158,262307504,25525760,262293152,25524948,262284800,25527622,262312272,25528784,262324208,25526332,262299024,25527458,262310592,25526232,262297984,25363898,262274112
46,46,25555426,262597984,25535910,262397424,25527263.5,262308587,25529156,262328032,25527242,262308368,25537676,262415584,25527162,262307536,25526730,262303104,25529988,262336592,25533610,262373792,25540494,262444528,25540056,262440032,25549362,262535664,25526526,262300992,25526716,262302960,25525346,262288880,25524870,262284000,25526980,262305680,25528146,262317648,25525794,262293488,25526638,262302160,25525330,262288736,25363730,262272384
47,47,25555710,262600896,25537842,262417296,25528518.7,262321485,25530674,262343632,25528446,262320736,25539844,262437872,25528258,262318816,25527506,262311072,25530824,262345168,25535306,262391232,25541558,262455456,25542444,262464560,25556142,262605328,25528584,262322160,25528798,262324352,25526240,262298064,25525820,262293760,25527216,262308096,25528322,262319472,25526442,262300144,25527522,262311232,25526236,262298032,25364310,262278384
48,48,25556742,262611488,25537908,262417952,25529055.22,262326998,25531042,262347408,25528992,262326352,25540856,262448272,25528658,262322928,25527696,262313024,25531932,262356560,25536324,262401696,25542848,262468720,25545010,262490928,25558736,262631984,25529010,262326528,25529260,262329104,25526476,262300496,25526142,262297056,25527704,262313120,25528848,262324864,25526556,262301312,25527802,262314128,25526612,262301888,25364302,262278288
49,49,25558728,262631904,25538908,262428240,25529177.93,262328259,25531084,262347856,25528990,262326336,25541400,262453840,25528912,262325520,25528046,262316624,25532038,262357648,25536986,262408480,25544090,262481488,25546204,262503216,25559466,262639488,25528798,262324352,25529270,262329200,25526520,262300960,25526422,262299936,25528000,262316160,25528940,262325808,25527034,262306224,25527864,262314768,25526776,262303568,25364590,262281280
50,50,25556668,262610736,25537484,262413616,25529200.32,262328489,25530588,262342752,25528958,262326000,25540968,262449408,25528618,262322512,25528058,262316752,25531962,262356864,25536672,262405264,25543818,262478688,25545596,262496960,25556694,262611008,25528454,262320832,25529302,262329520,25526676,262302560,25526164,262297280,25528076,262316928,25528910,262325504,25526722,262303024,25527634,262312400,25526632,262302096,25364586,262281232
51,51,25556214,262606080,25536806,262406640,25529069.33,262327143,25530364,262340448,25528728,262323632,25540638,262446032,25528612,262322448,25527654,262312592,25531684,262354000,25536708,262405632,25544180,262482416,25545514,262496112,25556352,262607488,25528206,262318272,25529104,262327488,25526606,262301824,25526118,262296816,25527874,262314864,25528672,262323072,25526844,262304288,25527842,262314544,25526616,262301936,25364554,262280896
52,52,25555716,262600960,25536656,262405104,25529051.32,262326958,25530282,262339600,25528788,262324240,25540414,262443712,25528460,262320880,25527532,262311344,25531564,262352768,25536846,262407056,25543724,262477744,25545078,262491632,25555832,262602144,25528160,262317792,25528992,262326336,25526686,262302656,25525988,262295472,25527882,262314944,25528766,262324016,25526906,262304912,25527510,262311120,25526490,262300624,25364710,262282512
