 ,Slice,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,,background
1,1,26266344,262401936,26276806,262506448,26259132,262329888,26260236,262340928,26274356,262481984,26260292,262341488,26274718,262485600,26264192,262380448,26296696,262705168,26291786,262656112,26263200,262370528,26275474,262493152,26256054,262299152,26255536,262293968,26270672,262445168,26261334,262351888,26266484,262403344,26255326,262291888,26267974,262418240,26258762,262326192,26253582,262274432
2,2,26265696,262395472,26275086,262489264,26259368,262332240,26260838,262346928,26273026,262468688,26260624,262344800,26273464,262473072,26263674,262375264,26292572,262663968,26290436,262642624,26263100,262369536,26273974,262478176,26255968,262298288,26255574,262294352,26269816,262436624,26262046,262358992,26266002,262398544,26255614,262294752,26267996,262418448,26258762,262326208,26253926,262277856
3,3,26266662,262405120,26277368,262512064,26261576,262354304,26266350,262402000,26274470,262483120,26261160,262350160,26275600,262494416,26264716,262385680,26296246,262700672,26290772,262645984,26263910,262377632,26276608,262504480,26256478,262303392,26255796,262296560,26270154,262440016,26262046,262359008,26265930,262397808,26255546,262294080,26268704,262425520,26258892,262327488,26253868,262277296
4,4,26266670,262405200,26280460,262542976,26262314,262361680,26269106,262429536,26275162,262490032,26261480,262353360,26276092,262499328,26264600,262384512,26297656,262714752,26290428,262642544,26264018,262378704,26277290,262511296,26256414,262302752,26255886,262297472,26270158,262440048,26262340,262361936,26265768,262396192,26255576,262294368,26268950,262427968,26258864,262327216,26253738,262275984
5,5,26265752,262396016,26278296,262521344,26262530,262363840,26270350,262441968,26274478,262483200,26260944,262347984,26274886,262487280,26264374,262382272,26297030,262708496,26290666,262644928,26263390,262372432,26276902,262507408,26256066,262299264,26255430,262292912,26269982,262438272,26262216,262360704,26265150,262390000,26255072,262289344,26269046,262428928,26258588,262324464,26252940,262268000
6,6,26267370,262412192,26281922,262557568,26264716,262385680,26272496,262463392,26275498,262493392,26262126,262359808,26275524,262493648,26264574,262384256,26297962,262717808,26293342,262671648,26264700,262385520,26278244,262520832,26257002,262308624,26256238,262300976,26271042,262448880,26263192,262370448,26266142,262399920,26255736,262295968,26270368,262442144,26259386,262332432,26253836,262276960
7,7,26268560,262424096,26278976,262528144,26265048,262388992,26273940,262477824,26276168,262500080,26262260,262361152,26275926,262497680,26264736,262385888,26298516,262723328,26292164,262659888,26265014,262388656,26278888,262527248,26257408,262312672,26256540,262304000,26271420,262452656,26263488,262373408,26266462,262403120,26255832,262296928,26271110,262449552,26259656,262335136,26253878,262277392
8,8,26269162,262430080,26280900,262547360,26265620,262394704,26274670,262485120,26276768,262506080,26262530,262363840,26276778,262506176,26265050,262389024,26299976,262737936,26293878,262677008,26265252,262391024,26279360,262531984,26257462,262313216,26256828,262306880,26271944,262457888,26264052,262379040,26266828,262406768,26255942,262298016,26271650,262454960,26259824,262336816,26254080,262279392
9,9,26269194,262430416,26279964,262538016,26265752,262396032,26274194,262480368,26277546,262513856,26262900,262367552,26277606,262514448,26265052,262389024,26301456,262752704,26295034,262688560,26265612,262394640,26279870,262537072,26257512,262313696,26256800,262306608,26272600,262464448,26264708,262385600,26267266,262411168,26256002,262298624,26271888,262457344,26259868,262337264,26253934,262277936
10,10,26269142,262429904,26280172,262540080,26265546,262393968,26272850,262466928,26277368,262512064,26262552,262364048,26277770,262516080,26265190,262390416,26301274,262750912,26296014,262698352,26265390,262392416,26280188,262540240,26257488,262313472,26256822,262306816,26272858,262467024,26264668,262385200,26267404,262412528,26255982,262298432,26272048,262458928,26260010,262338672,26253998,262278576
11,11,26268248,262420960,26272066,262459104,26261918,262357728,26265478,262393296,26272534,262463776,26261596,262354512,26273520,262473616,26263658,262375104,26289406,262632336,26287702,262615312,26265174,262390256,26271666,262455104,26257406,262312656,26256730,262305904,26272284,262461280,26263454,262373072,26266490,262403392,26256450,262303104,26270074,262439216,26260114,262339712,26255120,262289792
12,12,26269318,262431648,26275600,262494416,26262766,262366192,26268358,262422064,26273344,262471888,26262278,262361312,26274950,262487920,26264402,262382560,26291914,262657376,26289206,262630336,26265502,262393536,26272914,262467584,26257710,262315680,26256972,262308320,26272990,262468336,26264754,262386064,26267298,262411472,26256522,262303824,26271368,262452128,26260570,262344256,26255170,262290288
13,13,26270228,262440752,26277310,262511504,26262886,262367392,26269208,262430544,26275126,262489680,26262302,262361568,26277120,262509600,26265002,262388528,26295820,262696416,26293124,262669488,26265076,262389264,26275276,262491168,26257204,262310624,26256402,262302624,26274678,262485200,26265064,262389152,26268092,262419408,26256408,262302688,26272648,262464912,26260510,262343664,26254448,262283072
14,14,26268274,262421216,26274060,262479040,26260204,262340592,26262966,262368192,26272678,262465216,26261876,262357312,26276430,262502688,26264850,262387008,26296134,262699536,26289182,262630080,26262900,262367536,26276648,262504880,26256746,262306048,26256160,262300192,26273066,262469088,26264054,262379056,26266366,262402160,26256058,262299200,26269916,262437632,26260338,262341936,26254196,262280544
15,15,26266798,262406480,26269986,262438336,26261078,262349344,26263134,262369872,26267672,262415216,26261020,262348752,26274506,262483488,26262752,262366064,26287808,262616384,26287162,262609920,26262576,262364304,26276992,262508320,26257276,262311360,26256266,262301264,26270018,262438656,26263108,262369616,26265098,262389504,26256076,262299360,26267292,262411424,26259314,262331712,26254474,262283344
16,16,26268290,262421376,26272326,262461696,26262306,262361616,26265220,262390704,26270140,262439872,26262418,262362736,26273936,262477792,26263044,262368976,26289862,262636896,26288726,262625536,26265524,262393760,26277508,262513488,26258494,262323520,26257118,262309776,26271958,262458032,26262928,262367824,26265484,262393360,26256216,262300768,26268958,262428064,26259528,262333840,26254714,262285728
